RegAddr_PmeanCFLSB 	0xE3
RegAddr_PmeanTHLSB 	0xE4
RegAddr_PmeanAHLSB 	0xE5
RegAddr_PmeanBHLSB 	0xE6
RegAddr_PmeanCHLSB 	0xE7
RegAddr_UrmsALSB 	0xE9
RegAddr_UrmsBLSB 	0xEA
RegAddr_UrmsCLSB 	0xEB
RegAddr_IrmsALSB 	0xED
RegAddr_IrmsBLSB 	0xEE
RegAddr_IrmsCLSB 	0xEF

	THD +N, Frequency, Angle and Temperature Regi sters 
RegAddr_THDNUA 	0xF1
RegAddr_THDNUB 	0xF2
RegAddr_THDNUC 	0xF3
RegAddr_THDNIA 	0xF5
RegAddr_THDNIB 	0xF6
RegAddr_THDNIC 	0xF7
RegAddr_Freq	0xF8
RegAddr_PAngleA 	0xF9
RegAddr_PAngleB 	0xFA
RegAddr_PAngleC 	0xFB
RegAddr_Temp 	0xFC
RegAddr_UangleA 	0xFD
RegAddr_UangleB 	0xFE
RegAddr_UangleC 	0xFF

